date,name,value,group
2018/10/25,创业时代,14431.21,1
2018/10/25,斗破苍穹,14179.1,1
2018/10/25,武动乾坤之冰心在玉壶,12875.47,1
2018/10/25,凉生，我们可不可以不忧伤,8042.39,1
2018/10/25,双世宠妃第二季,6476.41,1
2018/10/25,如懿传,5846,1
2018/10/25,蚀日风暴,5832.15,1
2018/10/25,你迟到的许多年,4846.53,1
2018/10/25,游泳先生,4829.6,1
2018/10/25,正阳门下小女人,4788.02,1
2018/10/25,盛唐幻夜,4483.5,1
2018/10/25,娘道,2933.72,1
2018/10/25,最好的遇见,2459.6,1
2018/10/25,武动乾坤之英雄出少年,2205.42,1
2018/10/25,战地枪王,2127.07,1
2018/10/25,如若巴黎不快乐,2112.67,1
2018/10/25,橙红年代,1858.32,1
2018/10/25,天坑鹰猎,1704.01,1
2018/10/25,极速青春,1697.71,1
2018/10/25,喋血长江,1551.19,1
2018/10/25,双世宠妃,1527,1
2018/10/25,香蜜沉沉烬如霜,915.26,1
2018/10/25,倾世妖颜,907.05,1
2018/10/25,绝密任务,781.16,1
2018/10/25,三生三世十里桃花,656.83,1
2018/10/25,命中不注定,587.22,1
2018/10/25,永远一家人,565.84,1
2018/10/25,跳跃生命线,512.3,1
2018/10/25,颤抖吧阿部之朵星风云,507.97,1
2018/10/25,沙海,472.49,1
2018/10/25,恋爱先生,439.87,1
2018/10/25,人民的名义,417.77,1
2018/10/25,楚乔传,346.52,1
2018/10/25,许你浮生若梦,329.95,1
2018/10/25,胜利之路,310.44,1
2018/10/25,骑士的手套,300.23,1
2018/10/25,猎毒人,298.84,1
2018/10/25,欢乐颂2,296.27,1
2018/10/25,美丽见习生,280.71,1
2018/10/25,我们的千阙歌,275.73,1
2018/10/25,夜天子,221.85,1
2018/10/25,啊，父老乡亲,220.49,1
2018/10/25,硬骨头之绝地归途,220.09,1
2018/10/25,媚者无疆,216.17,1
2018/10/25,一千零一夜,213.05,1
2018/10/25,桃花依旧笑春风,205.83,1
2018/10/25,急诊科医生,205.68,1
2018/10/25,将军在上,203.08,1
2018/10/25,我的体育老师,196.63,1
2018/10/25,扶摇,196.61,1
2018/10/26,蚀日风暴,18237.67,1
2018/10/26,创业时代,13633.89,1
2018/10/26,斗破苍穹,13432.6,1
2018/10/26,武动乾坤之冰心在玉壶,12837.04,1
2018/10/26,正阳门下小女人,7635.37,1
2018/10/26,凉生，我们可不可以不忧伤,7280.42,1
2018/10/26,双世宠妃第二季,6816.47,1
2018/10/26,盛唐幻夜,6560.96,1
2018/10/26,如懿传,5226.62,1
2018/10/26,你迟到的许多年,4657.73,1
2018/10/26,娘道,2612.31,1
2018/10/26,最好的遇见,2349.88,1
2018/10/26,极速青春,2033.16,1
2018/10/26,战地枪王,1918.31,1
2018/10/26,游泳先生,1904.18,1
2018/10/26,橙红年代,1644.94,1
2018/10/26,双世宠妃,1473.38,1
